"filename", "language", "YAML", "JSON", "Swift", "Markdown", "XML", "C++", "Dart", "HTML", "CMake", "Java Properties", "comment", "blank", "total"
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\auth_screen\auth_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 4, 6, 77
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\auth_screen\form_login.dart", "Dart", 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 4, 19, 156
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\auth_screen\form_register.dart", "Dart", 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 3, 18, 186
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\auth_screen\textfield.dart", "Dart", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 7, 85
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\auth_screen\top_auth.dart", "Dart", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 4, 61
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\booking_docter\create_booking.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 5, 58
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\booking_docter\docter_profile.dart", "Dart", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 5, 62
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\booking_docter\form_booking.dart", "Dart", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 1, 5, 77
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\bottom_navigation_shell.dart", "Dart", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 11, 145
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\button.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\chat_screen\chat_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 4, 5, 69
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\chat_screen\search_chat.dart", "Dart", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 1, 4, 55
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\dashboard\dashbaord_stats.dart", "Dart", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 4, 103
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\dashboard\list_consultation.dart", "Dart", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 7, 96
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\detail_hospital\hospital_header.dart", "Dart", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 6, 7, 144
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\detail_hospital\tag_hospital.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 4, 48
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\dokter_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 3, 6, 126
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\hospital_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 3, 7, 116
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\input_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 4, 78
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\register_hospital\form_register_hospital.dart", "Dart", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 11, 145
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\register_hospital\more_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 2, 10, 72
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\register_hospital\upload_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 3, 9, 108
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\search_screen\bar_search.dart", "Dart", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 4, 40
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\search_screen\docter_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 5, 57
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\search_screen\new_hospital.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 4, 51
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\lib\widgets\search_screen\search_field.dart", "Dart", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 2, 10, 78
